Dataset,Depth,Mode,Threads,Time(s),Accuracy,Misclassification,TreeStructure
avila.txt,3,GPU,1,514.8950,0.584799,8664,"[0,0.21641450,[0,0.17452116,[3,0.68223250,0,7],[8,0.13838020,3,7]],[4,0.88798213,[1,0.00804203,0,1],[2,0.06742426,4,5]]]"
bean.txt,3,GPU,1,600.5790,0.869958,1770,"[3,0.26047122,[2,0.17032206,[12,0.52529955,0,6],[11,0.29063049,4,5]],[13,0.23097870,[3,0.56652069,3,2],[1,0.24401616,0,1]]]"
raisin.txt,4,GPU,1,453.5600,0.917778,74,"[1,0.25477090,[3,0.66764677,[6,0.24169576,[3,0.66608024,0,1],[5,0.76550025,1,0]],[5,0.63193548,[1,0.21781608,0,1],[5,0.63514078,1,0]]],[3,0.74595571,[5,0.73216647,[4,0.29233995,0,1],[5,0.73507273,0,1]],[0,0.29409108,[5,0.78139949,1,0],[6,0.27726701,0,1]]]]"
segment.txt,4,GPU,1,599.5050,0.905628,218,"[0,0.55927670,[16,0.35615367,[1,0.59789705,[8,0.63242900,5,2],[13,0.21946788,3,0]],[17,0.19139640,[17,0.16039780,1,6],[14,0.49241140,4,3]]],[9,0.17996678,[14,0.47154272,[17,0.22075471,6,4],[14,0.58252621,6,3]],[1,0.53540957,[8,0.50219423,5,2],[9,0.18685356,5,0]]]]"
