Dataset,Depth,Mode,Threads,Time(s),Accuracy,Misclassification,TreeStructure
bank.txt,4,CPU,1,0.1530,1,0,"[0,0.52518624,[2,0.43329573,[0,0.30375892,[2,0.35915542,1,0],[1,0.66570491,1,0]],[3,0.68274260,[0,0.41756007,1,0],[1,0.39951569,1,0]]],[1,0.59216219,[3,0.84120405,[2,0.23619100,1,0],[0,0.62420982,1,0]],[1,0.69883800,[2,0.12123588,1,0],[2,0.01282927,1,0]]]]"
bank.txt,4,CPU,2,0.0900,1,0,"[0,0.52518624,[2,0.43329573,[0,0.30375892,[2,0.35915542,1,0],[1,0.66570491,1,0]],[3,0.68274260,[0,0.41756007,1,0],[1,0.39951569,1,0]]],[1,0.59343791,[3,0.84232080,[2,0.23619100,1,0],[0,0.62420982,1,0]],[1,0.70073479,[2,0.12123588,1,0],[2,0.01282927,1,0]]]]"
bank.txt,4,CPU,3,0.1410,1,0,"[0,0.52518624,[2,0.43329573,[0,0.30375892,[2,0.35915542,1,0],[1,0.66570491,1,0]],[3,0.68274260,[0,0.41756007,1,0],[1,0.39951569,1,0]]],[1,0.59343791,[3,0.84232080,[2,0.23619100,1,0],[0,0.62420982,1,0]],[1,0.70073479,[2,0.12123588,1,0],[2,0.01282927,1,0]]]]"
bank.txt,4,CPU,4,0.1950,1,0,"[0,0.52518624,[2,0.43329573,[0,0.30375892,[2,0.35915542,1,0],[1,0.66570491,1,0]],[3,0.68274260,[0,0.41756007,1,0],[1,0.39951569,1,0]]],[1,0.59343791,[3,0.84232080,[2,0.23619100,1,0],[0,0.62420982,1,0]],[2,0.11481632,[1,0.71122485,1,0],0]]]"
bank.txt,4,CPU,5,0.1830,1,0,"[0,0.52518624,[2,0.43329573,[0,0.30375892,[2,0.35915542,1,0],[1,0.66570491,1,0]],[3,0.68274260,[0,0.41756007,1,0],[1,0.39951569,1,0]]],[1,0.59343791,[3,0.84232080,[2,0.23619100,1,0],[0,0.62420982,1,0]],[2,0.11481632,[1,0.71122485,1,0],0]]]"
bank.txt,4,CPU,6,0.2310,1,0,"[0,0.52518624,[2,0.43329573,[0,0.30375892,[2,0.35915542,1,0],[1,0.66570491,1,0]],[3,0.68274260,[0,0.41756007,1,0],[1,0.39951569,1,0]]],[1,0.59216219,[3,0.84232080,[2,0.23619100,1,0],[0,0.62420982,1,0]],[2,0.11557220,[1,0.71122485,1,0],0]]]"
bank.txt,4,CPU,7,0.3080,1,0,"[0,0.52518624,[2,0.43329573,[0,0.30375892,[2,0.35915542,1,0],[1,0.66570491,1,0]],[3,0.68274260,[0,0.41756007,1,0],[1,0.39951569,1,0]]],[1,0.59216219,[3,0.84232080,[2,0.23619100,1,0],[0,0.62420982,1,0]],[2,0.11557220,[1,0.71122485,1,0],0]]]"
bank.txt,4,CPU,8,0.3380,1,0,"[0,0.52518624,[2,0.43329573,[0,0.30375892,[2,0.35915542,1,0],[1,0.66570491,1,0]],[3,0.68274260,[0,0.41756007,1,0],[1,0.39951569,1,0]]],[1,0.59216219,[3,0.84232080,[2,0.23619100,1,0],[0,0.62420982,1,0]],[2,0.11557220,[1,0.71122485,1,0],0]]]"
bank.txt,4,CPU,9,0.3540,1,0,"[0,0.52518624,[2,0.43329573,[0,0.30375892,[2,0.35915542,1,0],[1,0.66570491,1,0]],[3,0.68274260,[0,0.41756007,1,0],[1,0.39951569,1,0]]],[1,0.59343791,[3,0.84232080,[2,0.23619100,1,0],[0,0.62420982,1,0]],[2,0.11481632,[1,0.71122485,1,0],0]]]"
bank.txt,4,CPU,10,0.3840,1,0,"[0,0.52518624,[2,0.43329573,[0,0.30375892,[2,0.35915542,1,0],[1,0.66570491,1,0]],[3,0.68274260,[0,0.41756007,1,0],[1,0.39951569,1,0]]],[1,0.59343791,[3,0.84232080,[2,0.23619100,1,0],[0,0.62420982,1,0]],[2,0.11481632,[1,0.71122485,1,0],0]]]"
bank.txt,4,CPU,15,0.6300,1,0,"[0,0.52518624,[2,0.43329573,[0,0.30375892,[2,0.35915542,1,0],[1,0.66570491,1,0]],[3,0.68274260,[0,0.41756007,1,0],[1,0.39951569,1,0]]],[1,0.59216219,[3,0.84232080,[2,0.23619100,1,0],[0,0.62420982,1,0]],[2,0.11557220,[1,0.71122485,1,0],0]]]"
